Country,Gender,Age,Time,Start Time
SUI,M,40,164.3166667,0.2166666667
FRA,M,40,164.3166667,0.4
NOR,M,40,164.3333333,0.1166666667
GER,M,30,164.35,0.08333333333
POL,M,30,164.3666667,0.2833333333
CHN,M,35,164.3666667,0.1833333333
POR,M,45,164.4166667,0.3166666667
GER,M,40,164.4166667,0.2333333333
CHI,M,40,164.4333333,0.3
GBR,M,30,164.45,0.08333333333
GER,M,30,164.5166667,0.5666666667
ESP,M,35,164.55,0.2166666667
GER,M,35,164.6166667,0.6
GBR,M,35,164.65,0.3666666667
NOR,M,30,164.65,0.6166666667
UKR,M,40,164.6833333,0.45
FIN,M,45,164.7833333,0.25
IRL,M,40,164.8166667,0.1333333333
NOR,M,35,164.8666667,0.1166666667
FRA,M,30,164.8666667,0.3
GER,M,30,164.8666667,0.2333333333
FRA,M,40,164.8833333,0.1
UKR,M,35,164.8833333,0.45
GER,M,30,164.8833333,1.15
SUD,M,35,164.9166667,0.2166666667
USA,M,30,164.9666667,0.35
NED,M,45,165,0.15
LTU,M,40,165.0166667,0.2833333333
GBR,M,35,165.0166667,0.3166666667
NOR,M,40,165.0166667,0.95
HKG,M,35,165.05,0.06666666667
USA,M,45,165.05,0.2333333333
USA,M,30,165.0666667,0.1333333333
GBR,M,45,165.1166667,0.6
MEX,M,35,165.1333333,0.08333333333
GBR,M,40,165.1333333,0.1833333333
CHN,M,40,165.1333333,0.1666666667
ITA,M,35,165.15,0.1166666667
IRL,M,40,165.2,0.2
ESP,M,45,165.3166667,0.1333333333
POL,M,35,165.3333333,0.2666666667
CYP,M,50,165.3666667,1.016666667
GBR,M,35,165.45,0.65
IRL,M,35,165.45,0.4666666667
AUS,M,40,165.45,0.2333333333
MAR,M,35,165.5166667,0.3
AUT,M,45,165.5333333,0.2333333333
CAN,M,50,165.5333333,0.4166666667
LUX,M,50,165.6166667,0.15
USA,M,35,165.65,0.7833333333
AUT,M,45,165.6833333,0.4333333333
NED,M,30,165.6833333,0.15
USA,M,35,165.7,0.45
GER,M,40,165.7166667,0.4166666667
NED,M,35,165.8,0.4166666667
ESP,M,30,165.8,0.6
GER,M,45,165.8333333,0.8
USA,M,30,165.8333333,0.2666666667
GER,M,40,165.85,0.1833333333
SLO,M,55,165.85,0.1666666667
GBR,M,45,165.8666667,0.35
ITA,M,45,165.9,0.4166666667
ESP,M,30,166.0833333,21.1
GBR,M,30,166.1,0.25
ISR,M,40,166.1,0.35
GBR,M,40,166.1833333,0.3333333333
GER,M,35,166.25,2.283333333
NED,M,30,166.25,0.45
GBR,M,35,166.2833333,1.05
DEN,M,40,166.3,1.033333333
IRL,M,30,166.3666667,1.283333333
DEN,M,30,166.3833333,1.433333333
AUS,M,50,166.4,0.2
NOR,M,35,166.4333333,1.05
POL,M,35,166.4666667,0.35
GER,M,40,166.4666667,0.6666666667
DEN,M,30,166.4833333,0.6
GER,M,40,166.5166667,1
NED,M,30,166.5166667,0.08333333333
IRL,M,45,166.5166667,0.2666666667
ECU,M,45,166.55,0.2
RUS,M,40,166.5666667,0.45
FRA,M,35,166.5833333,0.08333333333
FRA,M,30,166.5833333,0.1
DEN,M,40,166.6833333,0.15
SUI,M,40,166.7,0.1166666667
GER,M,35,166.7333333,0.7333333333
IRL,M,30,166.7833333,0.1333333333
IRL,M,40,166.8,0.4833333333
NOR,M,40,166.8333333,0.2
GBR,M,40,166.8333333,0.15
ESP,M,40,166.8333333,0.2
DEN,M,35,166.8333333,0.7333333333
GBR,M,35,166.85,0.6666666667
ESP,M,35,166.8833333,0.1833333333
GER,M,35,166.9,0.1666666667
ITA,M,45,166.95,0.4333333333
AUS,M,30,166.9666667,0.08333333333
GER,M,45,166.9666667,0.3
USA,M,35,166.9666667,1.3
GER,M,30,166.9833333,0.6666666667
GER,M,35,166.9833333,0.6666666667
ESP,M,35,166.9833333,0.2166666667
GER,M,35,167,0.1666666667
USA,M,35,167.0166667,0.6
GER,M,35,167.0333333,0.2666666667
AUT,M,30,167.0666667,0.2666666667
ITA,M,45,167.0833333,0.25
GER,M,30,167.1333333,0.65
AUT,M,50,167.15,0.6666666667
TUR,M,45,167.15,0.1333333333
ISR,M,50,167.1666667,0.1333333333
GER,M,40,167.2166667,0.5333333333
GER,M,35,167.25,1.433333333
IRL,M,35,167.25,0.3833333333
SUI,M,35,167.25,2.083333333
GER,M,35,167.3333333,0.2666666667
EST,M,45,167.3333333,0.5333333333
NOR,M,35,167.35,0.3166666667
GER,M,30,167.35,1.05
USA,M,35,167.3666667,0.3
ESP,M,35,167.3666667,0.35
ESP,M,30,167.3833333,0.1833333333
ESP,M,35,167.3833333,0.3333333333
IRL,M,50,167.4,0.4833333333
GBR,M,35,167.4,0.7666666667
NOR,M,40,167.4166667,0.3166666667
ITA,M,45,167.4333333,0.15
BRA,M,35,167.45,0.6
SWE,M,35,167.45,0.2333333333
DEN,M,40,167.45,0.2
CAN,M,50,167.5,0.5833333333
FIN,M,45,167.5166667,0.4666666667
GER,M,35,167.5166667,0.2
NED,M,45,167.55,0.5666666667
GBR,M,35,167.5666667,0.4333333333
GBR,M,50,167.6166667,0.5666666667
ESP,M,40,167.65,0.5333333333
ISR,M,40,167.65,0.1833333333
ESP,M,40,167.6833333,0.9
ITA,M,35,167.7,0
CHI,M,35,167.7166667,0.3166666667
USA,M,30,167.7333333,0.6833333333
GER,M,40,167.7666667,0.45
ESP,M,35,167.7666667,0.1333333333
AUS,M,35,167.7666667,0.3666666667
GBR,M,50,167.7833333,0.5333333333
RUS,M,50,167.8,0.7666666667
FRA,M,35,167.8,0.8
IRL,M,35,167.8166667,1.15
JPN,M,40,167.9333333,0.4666666667
SWE,M,35,167.95,1.05
JPN,M,45,167.9666667,0.4833333333
LTU,M,30,168.0166667,0.2
PUR,M,40,168.05,0.2
ITA,M,40,168.0666667,0.5
GBR,M,45,168.0833333,0.4666666667
GER,M,35,168.1,0.6166666667
ESP,M,35,168.1166667,0.1
AUS,M,40,168.1333333,0.4833333333
ITA,M,45,168.15,0.5833333333
GER,M,30,168.1666667,0.6333333333
IRL,M,50,168.1833333,0.55
JPN,M,30,168.1833333,0.55
NOR,M,35,168.2,0.7166666667
FRA,M,35,168.3,0.2166666667
SWE,M,50,168.3333333,0.2833333333
ITA,M,45,168.3666667,0.7333333333
NED,M,45,168.3833333,0.25
ESP,M,45,168.4,0.6833333333
GER,M,35,168.4166667,1.383333333
FRA,M,35,168.4166667,0.2
DEN,M,30,168.4333333,0.5166666667
HUN,M,45,168.4666667,0.5666666667
GER,M,40,168.4666667,0.4666666667
FRA,M,60,168.4666667,20.36666667
GER,M,40,168.4666667,0.35
DEN,M,45,168.4833333,1.416666667
FRA,M,50,168.5333333,0.3
DEN,M,45,168.55,0.2666666667
DEN,M,30,168.5666667,0.3333333333
GER,M,45,168.6,0.3
GER,M,35,168.6166667,0.4333333333
DEN,M,40,168.6166667,0.4666666667
NOR,M,35,168.6333333,1.066666667
SLO,M,50,168.6333333,0.7333333333
NOR,M,35,168.6333333,0.3166666667
NED,M,45,168.65,0.8166666667
NOR,M,50,168.65,0.4166666667
AUS,M,30,168.65,0.5
LIB,M,35,168.6666667,0.5
SUI,M,35,168.6666667,0.4333333333
NOR,M,40,168.7,1.266666667
ESP,M,45,168.7166667,0.3833333333
FIN,M,45,168.7666667,0.4833333333
NOR,M,35,168.7833333,0.3
GER,M,35,168.7833333,0.2833333333
GBR,M,30,168.7833333,0.6166666667
USA,M,35,168.8,0.1666666667
FRA,M,45,168.8166667,0.5
SWE,M,30,168.8333333,0.4666666667
SWE,M,50,168.8333333,0.2833333333
SUI,M,30,168.8333333,0.1666666667
NOR,M,40,168.8333333,0.3833333333
AUT,M,35,168.85,0.3166666667
USA,M,35,168.9166667,0.6333333333
IRL,M,50,168.9166667,0.4833333333
SWE,M,30,168.9166667,0.45
GER,M,35,168.9333333,1.033333333
FIN,M,45,168.9333333,0.2666666667
ESP,M,45,168.9333333,0.7833333333
GBR,M,40,168.95,0.5
POL,M,30,168.9666667,0.7166666667
GBR,M,50,168.9833333,0.2
USA,M,35,169,0.4333333333
GER,M,35,169,0.5
ESP,M,35,169.0333333,0.3166666667
DEN,M,40,169.0666667,0.4666666667
TUR,M,35,169.1,0.3833333333
SWE,M,35,169.1333333,0.3166666667
SWE,M,35,169.1833333,0.2333333333
IRL,M,45,169.1833333,0.4
FRA,M,30,169.1833333,0.7166666667
GER,M,30,169.1833333,0.9333333333
IRL,M,30,169.2,0.75
GER,M,45,169.2166667,0.15
USA,M,35,169.2333333,0.5333333333
BRA,M,35,169.25,0.2
FRA,M,45,169.25,0.2666666667
POL,M,45,169.2666667,0.4166666667
DEN,M,35,169.3,0.3166666667
RUS,M,35,169.3,1.05
NOR,M,30,169.3166667,0.1
ITA,M,35,169.3333333,0.25
GER,M,40,169.35,0.4833333333
GER,M,50,169.35,0.5166666667
IRL,M,35,169.3666667,0.3333333333
GER,M,40,169.3833333,0.35
GBR,M,35,169.4,0.4166666667
ITA,M,40,169.4166667,0.2333333333
GBR,M,45,169.4166667,1
GER,M,45,169.45,1.766666667
FRA,M,40,169.4666667,0.7166666667
ITA,M,40,169.4833333,0.1333333333
GER,M,30,169.4833333,0.5
GER,M,45,169.5,0.6166666667
GER,M,30,169.5333333,0.7833333333
BEL,M,40,169.55,0.25
GER,M,35,169.55,1.05
GER,M,35,169.55,0.5
PAN,M,35,169.55,0.5166666667
AUT,M,35,169.5666667,0.3166666667
CHI,M,35,169.5833333,0.6666666667
AUS,M,45,169.5833333,0.2333333333
NOR,M,40,169.6166667,0.4333333333
BEL,M,40,169.6333333,1.083333333
RUS,M,45,169.65,0.25
GER,M,40,169.6666667,0.2333333333
BEL,M,45,169.6833333,0.3333333333
NED,M,30,169.7166667,0.5166666667
GER,M,30,169.7333333,0.4
GER,M,30,169.7666667,3.05
HKG,M,35,169.8333333,0.3
GER,M,35,169.8333333,0.7833333333
NED,M,35,169.8333333,0.3
GBR,M,50,169.8666667,0.5166666667
SUI,M,35,169.8666667,1.433333333
AUT,M,30,169.8833333,0.1833333333
GBR,M,30,169.9,0.5166666667
GER,M,35,169.9,0.45
ESP,M,30,169.9,0.2666666667
SWE,M,45,169.9166667,0.3833333333
GER,M,35,169.95,0.4166666667
FRO,M,50,169.95,0.5333333333
BRA,M,40,169.9666667,0.4
ITA,M,30,170.0333333,0.25
